[0x00004fe8] | IO                   | INFO  | 2023-05-17 09:46:10,624 | WMF encoder cnt for HW (hvc1) is (1)
[0x00004fe8] | IO                   | INFO  | 2023-05-17 09:46:10,624 | Setting codec capacity (0)
[0x00004fe8] | SyManager            | INFO  | 2023-05-17 09:46:10,625 | Total: 20, NumDtThreads: 8, NumComms: 0, NumSites: 1

[0x00004fe8] | SyManager            | INFO  | 2023-05-17 09:46:10,625 | Lookaheads -> playback = 20, record = 20, stop = 2

[0x00004fe8] | DtManager            | INFO  | 2023-05-17 09:46:10,626 | Using 8 generic IO threads
[0x00004fe8] | DtManager            | INFO  | 2023-05-17 09:46:10,626 | Total of 16 IO threads (including 8 generic and 8 Red decode threads)
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:10,627 | Show splash screen message: Loading Project Libraries
[0x00001a20] | DtManager            | INFO  | 2023-05-17 09:46:10,627 | Dt Worker Thread Started
[0x00007da0] | GsManager            | INFO  | 2023-05-17 09:46:10,628 | Gs Processor Thread ----- (32160)

[0x00004474] | DtManager            | INFO  | 2023-05-17 09:46:10,628 | Dt Worker Thread Started
[0x00002b7c] | DtManager            | INFO  | 2023-05-17 09:46:10,628 | Dt Worker Thread Started
[0x00002d64] | DtManager            | INFO  | 2023-05-17 09:46:10,628 | Dt Worker Thread Started
[0x00007bbc] | DtManager            | INFO  | 2023-05-17 09:46:10,628 | Dt Data Handler Thread Started
[0x00002ad0] | DtManager            | INFO  | 2023-05-17 09:46:10,628 | Dt Worker Thread Started
[0x00004a48] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
[0x00005084] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
[0x00003050] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
[0x00003e88] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
[0x00006550] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
[0x00007950] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
[0x000059a8] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
[0x00007de4] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
[0x00007a24] | DtManager            | INFO  | 2023-05-17 09:46:10,629 | Dt Worker Thread Started
